Date,Time,Open,High,Low,Close,Volume
20201214,13:30:00,103.712,103.720,103.681,103.682,1177403008
20201214,13:35:00,103.681,103.707,103.669,103.695,1263275008
20201214,13:40:00,103.695,103.697,103.674,103.689,1005049984
20201214,13:45:00,103.689,103.689,103.597,103.615,1987080960
20201214,13:50:00,103.615,103.633,103.605,103.615,1702951936
20201214,13:55:00,103.615,103.622,103.547,103.561,1503753984
20201214,14:00:00,103.561,103.573,103.514,103.519,1980728064
20201214,14:05:00,103.519,103.564,103.510,103.564,1105168000
20201214,14:10:00,103.564,103.564,103.533,103.551,1224499968
20201214,14:15:00,103.551,103.622,103.547,103.621,1348718976
20201214,14:20:00,103.621,103.635,103.616,103.628,1080300032
20201214,14:25:00,103.629,103.651,103.618,103.636,1208349952
20201214,14:30:00,103.636,103.650,103.569,103.588,1652696064
20201214,14:35:00,103.587,103.632,103.582,103.626,1342404992
20201214,14:40:00,103.625,103.676,103.624,103.674,1204259968
20201214,14:45:00,103.673,103.701,103.655,103.689,1978743040
20201214,14:50:00,103.689,103.737,103.670,103.728,1424486016
20201214,14:55:00,103.728,103.749,103.698,103.705,1713208064
20201214,15:00:00,103.704,103.734,103.699,103.727,1736313984
20201214,15:05:00,103.726,103.935,103.720,103.911,2147483647
20201214,15:10:00,103.910,103.986,103.903,103.965,1678177024
20201214,15:15:00,103.965,104.004,103.935,103.953,2147483647
20201214,15:20:00,103.954,104.014,103.950,104.011,2147483647
20201214,15:25:00,104.011,104.064,103.980,103.985,2022246016
20201214,15:30:00,103.986,104.007,103.971,103.977,1470992000
20201214,15:35:00,103.978,103.987,103.946,103.955,1837789952
20201214,15:40:00,103.954,103.979,103.936,103.958,1825612032
20201214,15:45:00,103.959,104.014,103.959,104.002,1559200000
20201214,15:50:00,104.002,104.024,103.944,103.986,1927245952
20201214,15:55:00,103.988,104.105,103.988,104.084,2147483647
20201214,16:00:00,104.083,104.091,104.031,104.038,2083683968
20201214,16:05:00,104.037,104.059,104.029,104.030,1506641024
20201214,16:10:00,104.030,104.045,104.018,104.027,1196546048
20201214,16:15:00,104.028,104.054,104.028,104.051,862065984
20201214,16:20:00,104.052,104.054,104.025,104.032,617950976
